name,industry,country,employess
Arla Foods,"Food, Soft Beverages, Alcohol & Tobacco",Denmark,"21,307"
AXA Group,Insurance,France,"147,000"
Stellantis,Automotive (Automotive and Suppliers),Netherlands,"272,367"
CNH Industrial,"Engineering, Manufacturing",Netherlands,"40,220"
HSBC Holdings,Business Services & Supplies,United Kingdom,"213,978"
Ferrovial,"Construction, Chemicals, Raw Materials",Netherlands,"24,784"
SBA Communications,Banking and Financial Services,United States,"1,787"
Anywhere Real Estate Inc.,Business Services & Supplies,United States,"8,890"
New World Development,Conglomerate,Hong Kong,"28,000"
Stanley Black & Decker,"Semiconductors, Electronics, Electrical Engineering",United States,"50,000"
TCL Technology,"Semiconductors, Electronics, Electrical Engineering",China,"12,000"
PwC,Business Services & Supplies,United Kingdom,"328,000"
Newmont ,"Construction, Chemicals, Raw Materials",United States,"21,700"
DoorDash,IT Software & Services,United States,"19,300"
Deutsche Post,Transportation and Logistics,Germany,"590,000"
AECI,"Construction, Chemicals, Raw Materials",South Africa,"7,189"
Infosys,Professional Services,India,"336,000"
ACS Actividades de Construccion y Servicios,"Construction, Chemicals, Raw Materials",Spain,"135,419"
SAIC Motor,Automotive (Automotive and Suppliers),China,"14,087"
Toray Industries,"Construction, Chemicals, Raw Materials",Japan,"48,682"
Automatic Data Processing,IT Software & Services,United States,"41,000,000"
Sappi,"Construction, Chemicals, Raw Materials",South Africa,"11,600"
Telmex,"Telecommunications Services, Cable Supplier",Mexico,"10,001"
Bank of China (BOC),Banking and Financial Services,China,"306,182"
HD HYUNDAI,"Construction, Chemicals, Raw Materials",South Korea,"12,800"
AAC Technologies,"Semiconductors, Electronics, Electrical Engineering",China,"52,000"
Next,"Clothing, Shoes, Sports Equipment",United Kingdom,"44,000"
Energie AG Oberoesterreich,Utilities,Austria,"5,117"
Lexmark International,IT Software & Services,United States,"8,174"
Southwest Airlines,Transportation and Logistics,United States,"74,806"
Kikkoman,"Food, Soft Beverages, Alcohol & Tobacco",Japan,"7,521"
Eaton,Transportation and Logistics,Ireland,"92,000"
CCL Industries,Business Services & Supplies,Canada,"26,000"
Covéa,Insurance,France,"24,000"
NASDAQ,Banking and Financial Services,United States,"8,525"
AMC Entertainment,Travel & Leisure,United States,"33,812"
Saudi Electricity,Utilities,Saudi Arabia,"32,000"
Nokia,"Telecommunications Services, Cable Supplier",Finland,"86,900"
Pacific Century Group (PCG),Conglomerate,Hong Kong,"47,000"
Luxshare Precision Industry,"Semiconductors, Electronics, Electrical Engineering",China,"236,932"
Vale,"Construction, Chemicals, Raw Materials",Brazil,"72,266"
RWE,Utilities,Germany,"20,000"
S&P Global,Banking and Financial Services,United States,"40,000"
Textron,Aerospace & Defense,United States,"35,000"
Applied Materials,"Engineering, Manufacturing",United States,"33,000"
Toshiba,Conglomerate,Japan,"106,648"
Emirates,Transportation and Logistics,United Arab Emirates,"60,000"
Korea Gas,Utilities,South Korea,"4,092"
Repsol ,"Construction, Chemicals, Raw Materials",Spain,"24,000"
Insight Enterprises,IT Software & Services,United States,"13,448"
Royal Caribbean Group,Travel & Leisure,United States,"98,200"
Pandora,Retail and Wholesale,Denmark,"32,000"
Gilbane,"Construction, Chemicals, Raw Materials",United States,"3,000"
Atlas Copco,"Engineering, Manufacturing",Sweden,"45,800"
Aldi Nord,Retail and Wholesale,Germany,"92,000"
Specsavers Optical Group,Retail and Wholesale,United Kingdom,"46,000"
Deutsche Bahn,Transportation and Logistics,Germany,"292,423"
AbbVie,Drugs & Biotechnology,United States,"50,000"
Uponor,Retail and Wholesale,Finland,"3,600"
American International Group,Banking and Financial Services,United States,"25,200"
Orkla,Conglomerate,Norway,"10,000"
Manitou,"Engineering, Manufacturing",France,"5,500"
Yves Rocher,Packaged Goods,France,"15,296"
Bain & Company,Professional Services,United States,"19,000"
John Wood Group,Professional Services,United Kingdom,"35,000"
ArianeGroup,Aerospace & Defense,France,"8,000"
Agilent Technologies,Health Care Equipment & Services,United States,"18,000"
Qatar Airways Group,Transportation and Logistics,Qatar,"60,000"
Covestro,"Construction, Chemicals, Raw Materials",Germany,"18,000"
Five Guys,Restaurants,United States,"1,000"
Anta Sports Products,"Clothing, Shoes, Sports Equipment",China,"60,500"
State Bank of India,Banking and Financial Services,India,"235,858"
Gree Electric Appliances,"Engineering, Manufacturing",China,"90,000"
Manulife,Banking and Financial Services,Canada,"38,000"
Coca-Cola Europacific Partners,"Food, Soft Beverages, Alcohol & Tobacco",United Kingdom,"33,000"
Seagate Technology,"Semiconductors, Electronics, Electrical Engineering",United States,"33,400"
Kobe Steel,"Engineering, Manufacturing",Japan,"38,050"
Fortis (Canada),Utilities,Canada,"9,200"
Charles Schwab,Banking and Financial Services,United States,"36,600"
Global Payments,Banking and Financial Services,United States,"27,000"
Pernod Ricard,"Food, Soft Beverages, Alcohol & Tobacco",France,"19,480"
Gamuda Berhad,"Construction, Chemicals, Raw Materials",Malaysia,"4,219"
Suntory Holdings,"Food, Soft Beverages, Alcohol & Tobacco",Japan,"41,511"
Legrand,"Engineering, Manufacturing",France,"38,000"
Dow,"Construction, Chemicals, Raw Materials",United States,"37,800"
Becton Dickinson,Health Care Equipment & Services,United States,"75,000"
Groupe Atlantic,"Engineering, Manufacturing",France,"13,000"
Empresas Publicas de Medellin,Utilities,Colombia,"10,000"
Duke Energy,Utilities,United States,"27,000"
Denso,Automotive (Automotive and Suppliers),Japan,"162,029"
BAIC Motor,Automotive (Automotive and Suppliers),China,"12,000"
Grupo Lala,"Food, Soft Beverages, Alcohol & Tobacco",Mexico,"39,953"
HCLTech,Professional Services,India,"223,400"
New Balance ,"Clothing, Shoes, Sports Equipment",United States,"7,500"
LIXIL,"Engineering, Manufacturing",Japan,"53,834"
Embraer,Aerospace & Defense,Brazil,"18,000"
Thomson Reuters,IT Software & Services,Canada,"25,600"
Tesco,Retail and Wholesale,United Kingdom,"345,000"
STRABAG,"Construction, Chemicals, Raw Materials",Austria,"86,000"
AIA Group,Banking and Financial Services,Hong Kong,"23,000"
Harley-Davidson,Automotive (Automotive and Suppliers),United States,"6,400"
Isetan Mitsukoshi Holdings,Retail and Wholesale,Japan,"10,000"
Wacker Chemie,"Construction, Chemicals, Raw Materials",Germany,"16,400"
Access Bank,Banking and Financial Services,Nigeria,"28,000"
Lindt & Sprungli,"Food, Soft Beverages, Alcohol & Tobacco",Switzerland,"14,000"
Groupe Lactalis,Retail and Wholesale,France,"85,000"
Banco Bradesco,Banking and Financial Services,Brazil,"88,381"
YKK,"Engineering, Manufacturing",Japan,"45,363"
Sinar Mas,Conglomerate,Indonesia,"2,736"
Saab Group,Aerospace & Defense,Sweden,"22,000"
Carrefour,Retail and Wholesale,France,"321,383"
Fnac Darty,Retail and Wholesale,France,"25,000"
Nippon Steel ,"Construction, Chemicals, Raw Materials",Japan,"26,570"
Thermax,Conglomerate,India,"4,127"
Swiss Re ,Insurance,Switzerland,"14,000"
JYSK,Retail and Wholesale,Denmark,"30,000"
Qihoo 360,IT Software & Services,China,"6,481"
Calzedonia,"Clothing, Shoes, Sports Equipment",Italy,"45,000"
Life Insurance Corporation of India,Banking and Financial Services,India,"98,463"
Sika,"Construction, Chemicals, Raw Materials",Switzerland,"33,698"
Inditex,Retail and Wholesale,Spain,"164,997"
Woolworths,Retail and Wholesale,Australia,"190,000"
"Yakult Honsha Co.,","Food, Soft Beverages, Alcohol & Tobacco",Japan,"2,576"
Ferrero,"Food, Soft Beverages, Alcohol & Tobacco",Italy,
De'Longhi,"Engineering, Manufacturing",Italy,"10,000"
Standard Industries,"Engineering, Manufacturing",United States,"20,000"
Artsana,Health Care Equipment & Services,Italy,"2,814"
Hellmann Worldwide Logistics,Transportation and Logistics,Germany,"13,949"
NetApp,IT Software & Services,United States,"11,800"
Gruppo TIM,"Telecommunications Services, Cable Supplier",Italy,"10,000"
Jindal Steel and Power,"Construction, Chemicals, Raw Materials",India,"20,000"
Caisse de depot et de placement du Quebec,Banking and Financial Services,Canada,"1,644"
Advantech,IT Software & Services,Taiwan,"8,838"
CF Industries Holdings,"Engineering, Manufacturing",United States,"2,700"
Techint,"Construction, Chemicals, Raw Materials",Argentina,"19,500"
China Mobile,"Telecommunications Services, Cable Supplier",China,"451,830"
Generali Group,Insurance,Italy,"82,000"
PDD Holdings,Business Services & Supplies,Ireland,"17,403"
Randstad,Business Services & Supplies,Netherlands,"43,340"
Lendlease,"Construction, Chemicals, Raw Materials",Australia,"5,000"
Finnair,Transportation and Logistics,Finland,"5,195"
"Tokai Rika Co.,",Automotive (Automotive and Suppliers),Japan,"20,247"
Wyndham Destinations,Travel & Leisure,United States,"18,000"
Telstra,"Telecommunications Services, Cable Supplier",Australia,"28,889"
China Communications Construction Company,"Construction, Chemicals, Raw Materials",China,"136,506"
Thales,Aerospace & Defense,France,"81,000"
LUSH ,Retail and Wholesale,United Kingdom,"12,704"
T Rowe Price,Banking and Financial Services,United States,"7,500"
Palfinger,"Engineering, Manufacturing",Austria,"12,728"
National Oilwell Varco,"Construction, Chemicals, Raw Materials",United States,"33,676"
Fresenius Medical Care ,Health Care Equipment & Services,Germany,"128,044"
Check Point Software,IT Software & Services,Israel,"6,000"
Quest Global,"Engineering, Manufacturing",Singapore,"17,500"
Julius Baer Group,Banking and Financial Services,Switzerland,"7,185"
Liberty Global,"Telecommunications Services, Cable Supplier",United Kingdom,"33,000"
Rewe Group,Retail and Wholesale,Germany,"384,000"
Ricoh,"Semiconductors, Electronics, Electrical Engineering",Japan,"79,544"
KKR,Banking and Financial Services,United States,"4,150"
Elbit Systems,"Semiconductors, Electronics, Electrical Engineering",Israel,"18,407"
Knauf,"Engineering, Manufacturing",Germany,"40,000"
Kubota,"Engineering, Manufacturing",Japan,"50,352"
Richemont,"Clothing, Shoes, Sports Equipment",Switzerland,"40,000"
BioNTech,Drugs & Biotechnology,Germany,"6,300"
Cummins,"Engineering, Manufacturing",United States,"58,000"
Cognizant,Professional Services,United States,"336,300"
LGT Group,Banking and Financial Services,Liechtenstein,"5,000"
Manpower,Business Services & Supplies,United States,"30,900"
Lam Research,"Semiconductors, Electronics, Electrical Engineering",United States,"18,700"
PPF Group,Conglomerate,Czech Republic,"55,000"
Transat A.T.,Travel & Leisure,Canada,"5,000"
Goldman Sachs,Banking and Financial Services,United States,"40,000"
ABN AMRO Group,Banking and Financial Services,Netherlands,"19,234"
F5,IT Software & Services,United States,"4,000"
Ecopetrol,"Construction, Chemicals, Raw Materials",Colombia,"9,770"
Sick,"Semiconductors, Electronics, Electrical Engineering",Germany,"12,185"
Genpact,Professional Services,United States,"100,000"
Air China,Transportation and Logistics,China,"87,190"
Cigna,Health Care Equipment & Services,United States,"70,000"
Qatar National Bank,Banking and Financial Services,Qatar,"28,000"
Krones,"Engineering, Manufacturing",Germany,"17,200"
Grab,Travel & Leisure,Singapore,"12,005"
Nikkei,Media & Advertising,Japan,"3,054"
Gap,"Clothing, Shoes, Sports Equipment",United States,"95,000"
Bechtle,"Construction, Chemicals, Raw Materials",Germany,"15,000"
Beumer Group,"Engineering, Manufacturing",Germany,"5,600"
SAS Institute,IT Software & Services,United States,"13,263"
Hong Leong Group,Business Services & Supplies,Singapore,"20,000"
Agnico Eagle Mines,"Construction, Chemicals, Raw Materials",Canada,"16,000"
Grupo Arcor,"Food, Soft Beverages, Alcohol & Tobacco",Argentina,"20,000"
Labortoires Pierre Fabre,Drugs & Biotechnology,France,"9,600"
TD Bank Group,Banking and Financial Services,Canada,"95,000"
SKF Group,"Engineering, Manufacturing",Sweden,"42,641"
Harvey Norman,Retail and Wholesale,Australia,"6,500"
Grifols,Health Care Equipment & Services,Spain,"23,000"
Weichai Group,Automotive (Automotive and Suppliers),China,"100,000"
Cadence Design,"Semiconductors, Electronics, Electrical Engineering",United States,"11,200"
Tata Group,Professional Services,India,"1,028,000"
Trafigura Group,"Construction, Chemicals, Raw Materials",Singapore,"12,000"
MTU Aero Engines,Aerospace & Defense,Germany,"11,000"
Hikvision,"Semiconductors, Electronics, Electrical Engineering",China,"52,000"
Keyence,"Semiconductors, Electronics, Electrical Engineering",Japan,"12,286"
Sea Group,IT Software & Services,Singapore,"62,700"
Kirin Holdings,"Food, Soft Beverages, Alcohol & Tobacco",Japan,"30,183"
International Airlines Group,Transportation and Logistics,United Kingdom,"64,734"
Grupo Nutresa,Conglomerate,Colombia,"46,000"
LS Electric,"Engineering, Manufacturing",South Korea,"3,500"
Micron Technology,"Semiconductors, Electronics, Electrical Engineering",United States,"45,000"
Adecco Group,Business Services & Supplies,Switzerland,"39,000"
FMC,"Construction, Chemicals, Raw Materials",United States,"6,600"
Coloplast,Health Care Equipment & Services,Denmark,"14,500"
NEC,"Semiconductors, Electronics, Electrical Engineering",Japan,"105,276"
"Fossil Group,","Clothing, Shoes, Sports Equipment",United States,"6,100"
Hatch,Business Services & Supplies,Canada,"10,000"
Glencore International,"Construction, Chemicals, Raw Materials",Switzerland,"140,000"
Korail,Transportation and Logistics,South Korea,"10,000"
Adani Enterprises,Conglomerate,India,"23,000"
General Mills,"Food, Soft Beverages, Alcohol & Tobacco",United States,"10,001"
Cinemark Holdings,Travel & Leisure,United States,"26,100"
AutoZone,Retail and Wholesale,United States,"112,000"
Musgrave Group,Business Services & Supplies,Ireland,"41,000"
Kyocera,"Engineering, Manufacturing",Japan,"79,185"
Galp Energia,Utilities,Portugal,"7,054"
Axis Bank,Banking and Financial Services,India,"92,000"
Acerinox,"Construction, Chemicals, Raw Materials",Spain,"8,201"
Valmet,"Construction, Chemicals, Raw Materials",Finland,
The Hershey Company,"Food, Soft Beverages, Alcohol & Tobacco",United States,"20,505"
Nubank,Banking and Financial Services,Brazil,"5,000"
Piramal Enterprises,Drugs & Biotechnology,India,"7,820"
East Japan Railway,Transportation and Logistics,Japan,"44,565"
Harris,Aerospace & Defense,United States,"50,000"
Cooperatieve Rabobank,Banking and Financial Services,Netherlands,"46,959"
Bollore Group,"Engineering, Manufacturing",France,"56,000"
LT Group,Banking and Financial Services,Philippines,"14,290"
PT Kalbe Farma,Drugs & Biotechnology,Indonesia,"13,205"
Daiichi Sankyo,Drugs & Biotechnology,Japan,"17,000"
Phoenix Contact,"Engineering, Manufacturing",Germany,"21,000"
Plansee Group,"Engineering, Manufacturing",Austria,"11,208"
Foot Locker,Retail and Wholesale,United States,"46,880"
Groupama Group,Insurance,France,"31,000"
Century Pacific Group,"Food, Soft Beverages, Alcohol & Tobacco",Philippines,"2,725"
Intesa Sanpaolo Assicura,Banking and Financial Services,Italy,"94,368"
Stena,Transportation and Logistics,Sweden,"6,100"
MOL Hungarian Oil,"Construction, Chemicals, Raw Materials",Hungary,"25,000"
Heraeus,"Engineering, Manufacturing",Germany,"16,400"
NITORI,Retail and Wholesale,Japan,"56,934"
United Microelectronics,"Semiconductors, Electronics, Electrical Engineering",Taiwan,"19,833"
Oversea-Chinese Banking,Banking and Financial Services,Singapore,"30,000"
bioMerieux,Drugs & Biotechnology,France,"13,800"
Ralph Lauren,"Clothing, Shoes, Sports Equipment",United States,"23,300"
DexCom,Health Care Equipment & Services,United States,"10,000"
Truist Bank,Banking and Financial Services,United States,"10,001"
SMC,"Engineering, Manufacturing",Japan,"23,127"
Dyson,"Engineering, Manufacturing",Singapore,"14,000"
BT Group,"Telecommunications Services, Cable Supplier",United Kingdom,"99,000"
André Maggi Participaçoes,Conglomerate,Brazil,"9,460"
ODP,Retail and Wholesale,United States,"25,000"
Bank Negara Indonesia,Banking and Financial Services,Indonesia,"27,570"
Mapei,"Construction, Chemicals, Raw Materials",Italy,"11,900"
AkzoNobel,"Construction, Chemicals, Raw Materials",Netherlands,"35,100"
Clevo,"Semiconductors, Electronics, Electrical Engineering",Taiwan,"2,309"
SEB SA,Packaged Goods,France,"31,000"
Thermo Fisher Scientific,Health Care Equipment & Services,United States,"130,000"
Huadong Medicine,Drugs & Biotechnology,China,"8,000"
SMA Solar Technology AG,"Engineering, Manufacturing",Germany,"4,000"
Paychex,Business Services & Supplies,United States,"16,000"
Best Western International,Travel & Leisure,United States,"1,190"
RMB Holdings,Banking and Financial Services,South Africa,"1,100"
SBI Holdings,Banking and Financial Services,Japan,"19,097"
Shanghai Tunnel Engineering,"Engineering, Manufacturing",Singapore,"15,000"
Amadeus IT Group ,IT Software & Services,Spain,"18,000"
James Hardie Industries,"Construction, Chemicals, Raw Materials",Ireland,"5,000"
Avis Budget Group,Travel & Leisure,United States,"21,000"
Arab Contractors,"Construction, Chemicals, Raw Materials",Egypt,"10,000"
Medline Industries,"Engineering, Manufacturing",United States,"34,000"
Helm,"Engineering, Manufacturing",Germany,"1,621"
CDW,Business Services & Supplies,United States,"15,000"
Ecolab,Business Services & Supplies,United States,"48,000"
National Bank of Egypt,Banking and Financial Services,Egypt,"10,000"
CMA CGM,Transportation and Logistics,France,"160,000"
Wipro,IT Software & Services,India,"10,001"
BMO,Banking and Financial Services,Canada,"46,722"
Vedanta Limited,"Construction, Chemicals, Raw Materials",United Kingdom,"76,185"
Grupo Bimbo,Conglomerate,Mexico,"149,144"
Carter's,Retail and Wholesale,United States,"15,490"
Alba Group,Business Services & Supplies,Germany,"8,700"
Air Liquide,"Construction, Chemicals, Raw Materials",France,"66,400"
Egis Group,"Engineering, Manufacturing",France,"19,500"
Kyushu Electric Power,Utilities,Japan,"5,235"
Kingspan Group PLC,"Engineering, Manufacturing",Ireland,"22,500"
Sekisui House,"Construction, Chemicals, Raw Materials",Japan,"14,932"
Far East Organization,Conglomerate,Singapore,"1,054"
Dana ,"Engineering, Manufacturing",United States,"42,000"
Itochu,Conglomerate,Japan,"110,000"
Iberdrola,Utilities,Spain,"42,726"
SAIC,Automotive (Automotive and Suppliers),China,"24,000"
CMS Energy,"Construction, Chemicals, Raw Materials",United States,"9,000"
Hermès International,Retail and Wholesale,France,"22,037"
China Construction Bank,Banking and Financial Services,China,"376,871"
Otis Worldwide,"Engineering, Manufacturing",United States,"71,000"
Mahindra Group,Automotive (Automotive and Suppliers),India,"260,000"
Hexagon ,Retail and Wholesale,Sweden,"24,000"
Saudi Telecom,"Telecommunications Services, Cable Supplier",Saudi Arabia,"10,000"
KSB AG,"Engineering, Manufacturing",Germany,"15,000"
Capgemini,Business Services & Supplies,France,"340,443"
Sumitomo Mitsui Financial,Banking and Financial Services,Japan,"124,000"
Ceconomy,Retail and Wholesale,Germany,"50,000"
Cardinal Health,Retail and Wholesale,Ireland,"30,500"
Asurion,Insurance,United States,"25,000"
Blum Group,"Engineering, Manufacturing",Austria,"9,300"
Mars,"Food, Soft Beverages, Alcohol & Tobacco",United States,"150,000"
Mobile Telecommunications KSC,"Telecommunications Services, Cable Supplier",Kuwait,"7,900"
Cotton On Group,Retail and Wholesale,Australia,"20,000"
Doosan,"Engineering, Manufacturing",South Korea,"2,629"
Geberit,"Engineering, Manufacturing",Switzerland,"12,000"
CyberAgent,IT Software & Services,Japan,"11,623"
ENEOS Holdings,"Construction, Chemicals, Raw Materials",Japan,"8,981"
Ito En,"Food, Soft Beverages, Alcohol & Tobacco",Japan,"5,226"
TELUS,"Telecommunications Services, Cable Supplier",Canada,"104,700"
BRP,Automotive (Automotive and Suppliers),Canada,"23,000"
Republic Services,Professional Services,United States,"42,000"
Ipsen,Drugs & Biotechnology,France,"5,000"
Genomma LAB Internacional,Drugs & Biotechnology,Mexico,"1,633"
Groupe Le Duff,Restaurants,France,"19,000"
H&R Block,Business Services & Supplies,United States,"69,900"
Mutua Madrileña,Insurance,Spain,"14,000"
Carrier Global,"Engineering, Manufacturing",United States,"52,000"
Marks & Spencer,Retail and Wholesale,United Kingdom,"64,261"
AngloGold Ashanti,"Construction, Chemicals, Raw Materials",United States,
Aldi Süd,Retail and Wholesale,Germany,"180,000"
PNC Financial Services,Banking and Financial Services,United States,"61,000"
Caixa Geral de Depósitos,Banking and Financial Services,Portugal,"10,910"
CIBC,Banking and Financial Services,Canada,"50,000"
DNB Bank,Banking and Financial Services,Norway,"11,710"
Isbank,Banking and Financial Services,Turkey,"10,000"
Alliance Global Group,"Food, Soft Beverages, Alcohol & Tobacco",Philippines,"56,915"
Teck Resources,"Construction, Chemicals, Raw Materials",Canada,"13,000"
Activision Blizzard,Media & Advertising,United States,"13,000"
Andersen Corporation,"Engineering, Manufacturing",United States,"5,001"
McKinsey & Company,Business Services & Supplies,United States,"45,000"
COFRA Group,Retail and Wholesale,Switzerland,"60,000"
Robert Half,Business Services & Supplies,United States,"16,300"
Turkcell,"Telecommunications Services, Cable Supplier",Turkey,"5,000"
Kingfisher,Retail and Wholesale,United Kingdom,"82,000"
Sartorius,Drugs & Biotechnology,Germany,"15,000"
Dai-ichi Life Holdings,Insurance,Japan,"60,997"
Papa John's International,Restaurants,United States,"12,000"
DIC,"Construction, Chemicals, Raw Materials",Japan,"22,255"
Clarins,Packaged Goods,France,"8,000"
Metalurgica Gerdau,"Construction, Chemicals, Raw Materials",Brazil,"28,000"
Shimizu,"Construction, Chemicals, Raw Materials",Japan,"10,845"
Dürr Group,"Engineering, Manufacturing",Germany,"19,000"
Uber,IT Software & Services,United States,"27,000"
Phillips 66,"Construction, Chemicals, Raw Materials",United States,"14,000"
SLB,"Construction, Chemicals, Raw Materials",France,"111,000"
MAIRE Group,"Engineering, Manufacturing",Italy,"6,500"
ServiceNow,IT Software & Services,United States,"24,000"
Qantas Airways,Transportation and Logistics,Australia,"26,000"
Tetra Tech,Professional Services,United States,"28,000"
Air Canada,Transportation and Logistics,Canada,"39,000"
Kirchhoff Automotive,Automotive (Automotive and Suppliers),Germany,"7,650"
Korea Investment Holdings,Banking and Financial Services,South Korea,"2,941"
KGHM Polska Miedz,"Construction, Chemicals, Raw Materials",Poland,"34,000"
Regeneron Pharmaceuticals,"Construction, Chemicals, Raw Materials",United States,"11,851"
TUEV SUED,Professional Services,Germany,"25,000"
Triumph International,"Clothing, Shoes, Sports Equipment",Switzerland,"10,000"
Keysight Technologies,"Semiconductors, Electronics, Electrical Engineering",United States,"15,000"
China Southern Airlines,Transportation and Logistics,China,"90,000"
Inizio,Business Services & Supplies,United States,"11,700"
Adtalem Global Education,Business Services & Supplies,United States,"10,000"
BlackRock,Banking and Financial Services,United States,"16,000"
Tchibo,Retail and Wholesale,Germany,"10,001"
Smiths Group,"Engineering, Manufacturing",United Kingdom,"15,000"
Vaillant Group,"Engineering, Manufacturing",Germany,"17,000"
London Stock Exchange,Banking and Financial Services,United Kingdom,"25,000"
Kraft Heinz Company,"Food, Soft Beverages, Alcohol & Tobacco",United States,"36,000"
Warehouse Group,Retail and Wholesale,New Zealand,"12,000"
AmRest,Restaurants,Spain,"45,000"
JTB,Travel & Leisure,Japan,"18,663"
Punjab National Bank,Banking and Financial Services,India,"104,000"
Atlas Holdings,"Engineering, Manufacturing",United States,"50,000"
Hornbach Holding,Retail and Wholesale,Germany,"25,000"
Dover,"Engineering, Manufacturing",United States,"25,000"
Dolce & Gabbana,"Clothing, Shoes, Sports Equipment",Italy,"5,400"
EDP Group,Utilities,Portugal,"13,041"
Dongfeng Motor Group,Automotive (Automotive and Suppliers),China,"119,420"
ASE Technology Holding,"Semiconductors, Electronics, Electrical Engineering",Taiwan,"10,000"
BNP Paribas,Banking and Financial Services,France,"193,000"
América Móvil,"Telecommunications Services, Cable Supplier",Mexico,"176,083"
Ibiden,"Semiconductors, Electronics, Electrical Engineering",Japan,"11,375"
